Pasta,"Pasta pesto, sugo, burro"
Pasta,Pasta carbonara
Pasta,Pasta bolognese
Pasta,Pasta salmone e panna
Pasta,"Pasta al currygiallo, latte di cocco e Chinakohl"
Pasta,Lasagne
Carne/ pesce,Spezzatino con puree o polenta
Carne/ pesce,Ossibuchi di vitello con puree
Carne/ pesce,Polpette al pomodoro con puree o polenta
Carne/ pesce,Chili con carne e riso
Carne/ pesce,Salmone con verdurine al forno
Carne/ pesce,Carne con insalata
Carne/ pesce,Pollo e patate al forno
Risotti,Risotto zafferano
Risotti,Risotto speck e zucchine
Risotti,Risotto salmone e verdurine
Pizze,Panizza
Pizze,Pizza
Pizze,Flammkuchen
Pizze,Focaccia di recco
Patate,Berner Rösti
Patate,Gratin di patate
Patate,Patate e fagiolini verdi al vapore
Patate,Patate a spicchi al forno
Patate,Püree
Patate,Polenta
Ethno,Fajitas alla carne o tofu
Ethno,Curry rosso al latte di cocco
Ethno,Erdnusspoulet con riso 
Uova,Omelette con zucchine a cerchiolini
Uova,Tortilla espanola
Uova,Spätzli
Uova,Spätzli agli spinaci
Uova,Crèpes ricotta e spinaci
Insalate,Insalatona à la jiji
Insalate,Insalata pomodoro mozzarella
Insalate,Insalata di riso
Minestre,Minestra carote e patate e braciole
Minestre,Minestra d'avena
Minestre,Minestrina con pastina
Legumi,Lenticchie con sugo di pomodoro e verdurine
Legumi,Hummus con patate o fajitas
